rank,code,name,market,mktcap,sector,close,stop,trend_score,pattern_score,volume_score,supply_score,risk_score,total_score,risk_pct,bbw_pct,adx,setup,ma20,ma60,bb_upper,door_knock,squeeze,score_details,base_stop,strat1_type,strat1_name,strat1_entry,strat1_stop,strat1_risk,strat2_type,strat2_name,strat2_entry,strat2_stop,strat2_risk,strat3_type,strat3_name,strat3_entry,strat3_stop,strat3_risk,foreign_consec_buy,foreign_net_5d,inst_net_5d,scan_date,chunk,keywords,news_count
1,017940,E1,KOSPI,607110000000,"LPG(프로판,부탄가스),가스기기판매",88500.0,86147.37939976735,21.0,20.0,18.0,11,10.0,80.0,4.482210229023133,15.126050420168067,33.773644700348775,R,82050.0,83872.0,90189.87939976735,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",77500.0,breakout,돌파,90189.87939976735,86147.37939976735,4.482210229023133,oneil,오닐,88500.0,85805.0,3.0451977401129944,pullback,눌림목,82050.0,78816.0,3.9414990859232177,5,2255203100.0,-1245442700.0,2026-01-26 17:02,1,,0
2,195870,해성디에스,KOSPI,1011500000000,반도체 패키지용 Substrate,59500.0,55395.0,20.0,25.0,18.0,12,5.0,80.0,8.724666337123084,1.680672268907563,18.597133959318985,B,52925.0,52917.0,58304.8963054368,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -5}",19990.0,breakout,돌파,60690.0,55395.0,8.724666337123084,oneil,오닐,59500.0,55970.0,5.932773109243698,pullback,눌림목,52925.0,48689.0,8.003778932451583,3,13095089700.0,2721396700.0,2026-01-26 17:02,1,,0
3,005290,동진쎄미켐,KOSDAQ,2185115995000,"반도체,LCD용재료(감광제,봉지제),발포제",42500.0,40592.79791307632,25.0,15.0,16.0,15,8.0,79.0,6.5724479935969455,30.252100840336134,54.541822069485534,B,39982.5,37754.0,43448.42291307632,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 3, ""vol_today"": 8, ""risk_deduction"": -2}",36150.0,breakout,돌파,43448.42291307632,40592.79791307632,6.5724479935969455,oneil,오닐,42500.0,40596.25,4.479411764705882,pullback,눌림목,39982.5,37698.0,5.713749765522416,5,12150949200.0,794392250.0,2026-01-26 17:03,1,,0
4,240810,원익IPS,KOSDAQ GLOBAL,4181948365200,반도체 제조용 기계,85200.0,79171.5,25.0,25.0,20.0,3,5.0,78.0,8.897749240541287,17.647058823529413,48.16862847951268,B,75945.0,67390.0,81858.02953583456,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 5, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -5}",23500.0,breakout,돌파,86904.0,79171.5,8.897749240541287,oneil,오닐,85200.0,80045.0,6.050469483568075,pullback,눌림목,75945.0,69759.0,8.145368358680624,0,27995951300.0,-3641499600.0,2026-01-26 17:02,1,,0
5,137400,피엔티,KOSDAQ GLOBAL,1131232262000,2차전지 및 전자소재용 Roll-to-Roll 장비,47750.0,45687.5,21.0,25.0,13.0,7,10.0,76.0,4.319371727748691,11.764705882352942,34.267410799266145,B,38900.0,40103.0,45657.7078202388,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",39700.0,oneil,Pocket Pivot,47750.0,45687.5,4.319371727748691,breakout,돌파,48705.0,45611.25,6.352017246689251,pullback,눌림목,38900.0,36955.0,5.0,0,6616638450.0,5903941750.0,2026-01-26 17:02,1,,0
6,950160,코오롱티슈진,KOSDAQ,7814476783500,골관절염 치료제,93900.0,88450.0,24.0,15.0,18.0,9,9.0,75.0,5.804046858359958,68.90756302521008,36.117823561687324,B,75220.0,73432.0,94902.81595916483,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_deduction"": -1}",45550.0,oneil,Pocket Pivot,93900.0,88450.0,5.804046858359958,breakout,돌파,94902.81595916483,86727.81595916483,8.6140752699241,pullback,눌림목,75220.0,68680.0,8.694496144642383,2,2996263300.0,4316241500.0,2026-01-26 17:03,1,,0
7,271560,오리온,KOSPI,4345020906800,스낵 등 과자류,109900.0,104930.0,22.0,15.0,13.0,15,10.0,75.0,3.1161996214394536,64.70588235294117,36.80814135549141,B,108305.0,106166.0,112891.07677237864,True,False,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_today"": 8, ""risk_safe"": 10}",102300.0,pullback,눌림목,108305.0,104930.0,3.1161996214394536,breakout,돌파,112891.07677237864,108672.32677237864,3.737009266468626,oneil,오닐,109900.0,103306.0,6.0,5,20210063300.0,12564970500.0,2026-01-26 17:03,1,,0
8,161580,필옵틱스,KOSDAQ,1181838723500,디스플레이 및 반도체 제조공정용 제작,50500.0,48310.0,20.0,20.0,18.0,7,10.0,75.0,4.336633663366336,15.126050420168067,13.149697367258357,R,44390.0,43388.0,51770.43520363788,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_dryup"": 5, ""vol_today"": 8, ""risk_safe"": 10}",43650.0,oneil,Pocket Pivot,50500.0,48310.0,4.336633663366336,breakout,돌파,51770.43520363788,48485.43520363788,6.345320426761962,pullback,눌림목,44390.0,43650.0,1.6670421266050912,0,7692683400.0,2538435450.0,2026-01-26 17:02,1,,0
9,003550,LG,KOSPI,13818254016000,지주회사,89600.0,87410.0,24.0,20.0,10.0,11,10.0,75.0,2.4441964285714284,17.647058823529413,38.48882266617361,R,84425.0,82790.0,88954.18564981881,True,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_20_50"": 3, ""trend_align_50_200"": 2, ""trend_adx"": 4, ""pat_door_knock"": 10, ""pat_squeeze"": 10, ""vol_explosion"": 5, ""vol_today"": 5, ""risk_safe"": 10}",79800.0,oneil,Inside Day,89600.0,87410.0,2.4441964285714284,breakout,돌파,91392.0,87109.5,4.6858587184873945,pullback,눌림목,84425.0,80999.0,4.058039680189517,5,26153563000.0,-963764800.0,2026-01-26 17:03,1,,0
10,078160,메디포스트,KOSDAQ,708427176210,제대혈은행,18070.0,16920.0,19.0,15.0,20.0,12,8.0,74.0,6.3641394576646375,19.327731092436974,23.14281909410116,B,16015.0,17075.0,19884.56244863292,False,True,"{""trend_ma20"": 5, ""trend_ma50"": 5, ""trend_ma200"": 5, ""trend_align_50_200"": 2, ""trend_adx"": 2, ""pat_squeeze"": 10, ""pat_setup_b"": 5, ""vol_explosion"": 5, ""vol_dryup"": 7, ""vol_today"": 8, ""risk_deduction"": -2}",12900.0,oneil,Pocket Pivot,18070.0,16920.0,6.3641394576646375,breakout,돌파,19884.56244863292,18159.56244863292,8.6750714503079,pullback,눌림목,16015.0,14635.0,8.616921635966282,4,1441044150.0,876298750.0,2026-01-26 17:03,1,,0
